v0.51 and above:
   Extract to a ./gfx/tracks/ dir

Old versions:
   Extract to a ./gfx/ dir

------------------------------------------------------------------
Track                  Author          UID
------------------------------------------------------------------
Karting Stadium        Scorpius        VsaBzsuZf3i6O6TW7aZjraDi24a
Need for Speed         Andree          z4kgC7qeRi48adAzUAJ38iJ8UU6
OddWorld               DEnGel          YjwJPLatWACMnfLAFon3CxZnRP6
Open your eyes.        irondragons     ucKiaTj38TpbDEPNn9czEVqSYYa
N.U.F.A. U.N.O. A.B.T. PANzon          xgQDbi8vYEc01ehxrzjkOffxR_7
Japan Style            nap303_         rgACyrCBAlkreTZWIFdzvO1FQs0
rEnEgadE               pitstep         HuMZ_9roscEJ6Otaj4tULvyuZSl
!ns!deTMN              SadHik          YZu6YCNHRBwmeF7MFhvG2ViOEKf
battlestation          pitstep         6U3tSj_GHN1VEdP3KpgxJYJUPV2
BRAINWASH_v2 the...    DerFeineHerr    lGw0LWTkimFb18Nrco61HeFKHk1
BikiniBottom           Softball        505aoyeTRE91PezAs7dKi5maFob
tinyTECH2              Ron_Turbo       I4_Cuq71JJ5X84dv0ZLOkClrYF2
TriniTy                Ganja           quzNBlNzVAdSJVV5K6GaoOs_So4
DemoN ToucH            weetos          dCscv1ZHa5EwnfbodHULyUlHi0d
Aerials                MasterDisaster  jUevT99Gi7VZqB3U_1qia6YobGi
Pow?r                  _Squirrel_      g_IOi2p1dfH2ndrvpPtA7W5eN4j
FormulaFun             Andey           DCAf63mYZ_czww0llVctfOn4G68
Smooth Criminal        DaCheCker       7zJRBGIPbGJrds_CKHjf8dtQkD4
-RUSH-Double Back...   Mikerush76      gWPsplrh7p0TAqXq7eDwJjSjjr0
»GreenEyes«            Squirrel        C21POWZh68AWDElenP3Jw_8TtI3
Remix                  Ganja           SH7vjO6dFm6l06c6Xx_uZ8AcI0f
Trou duc' en loop      KeV             iJVi5z1KFukXS4_H_0XsN4Cass
KOmpleX                Bung.Hole       WiZV8OiV55MfgZtyauCrdkNdBlf
Race Arena             Andree          6uoZH0tMvVSdIHXZp1Kp1KEnmyf
TmsO W@LL              KeV             WvD7lJrdlXhPCkA_pHkGj2SMJ21
¤Instinctif¤           demon_fire      GH67m2M9q76eCOcCOUC9qrasCT1
Palm-Stadium           BLaHiTiS        fVV1ekeiwO0qxeqdOfuAo1zFK5k
Silver                 _Squirrel_      l2pskpBN7rR8vSt1BhJ4O5jI84m
-32-PatriotGames       -32-            mQmbcRCRFNSrshM35xG19DoClFl
Bleu Spirit            speedy14        nvAx4sVRSfG5M0VX6tomldY4ixk
Epicentre              Sonic.          H9jKScjTvC_nsTg6TQqEwed6L2c
Flying High            Sonic.          9pSDmA5lAsvQA7Ul1P1JqhtgXK6
RubberRoom             popgun          u4xZANo0dySx1VVTkZOC5Cx1w9d
Sweet Dreams           Sonic.          WYZ1Vi5YJ_OzOpOGtHjUbn5KI6h
[K] RushNation         -KennY-         rKNrqSJ9vU9MW_1B_Q6uvMOMZri

Escape the Prison 3    Andree          KgEnzHtWxgYywaJ_KoQu_FiT6f2
In my place            irondragons     RXX_76RzPSlCBJOwTL0uFvNdZjj
Matrix Revival         Scorpius        Vz5qqGWPINLdHjhAN_x1vhNAXL2
DutchDelight           GanjaRider      RFqmAp3sm8AP_wZoPFpc1md1Qh3
Ride                   irondragons     IVcm8bxVxUbJeyWn7qeFqSJFPWc
Ahead is a blur        irondragons     BLKATatO4YyNttaHyYOORO_i0c9
Brown Stains           GanjaRider      1OToVYoPYhdSBecaM8eSAPwB7w5
Be Quick Or Be Dead    Andree          VJ6xHV0mEpeu5dZqZqg6Whw6qMd
