v0.51 and above:
   Extract to a ./gfx/tracks/ dir

Old versions:
   Extract to a ./gfx/ dir

------------------------------------------------------------------
Track                  Author          UID
------------------------------------------------------------------
BayA1                  Nadeo           _W8WFgRTYeYLsdivrz_VNgYwOI3
BayA2                  Nadeo           CO0_NvCzQkUhYBZWRIlLMED8oed
BayA3                  Nadeo           Er7F1KUZhY5FWaewlzJCy4XCXtk
BayA4                  Nadeo           59r41PRnceH7GDsBGRbR8O0LWp0
BayA5                  Nadeo           tRI2aS5bEel1zLnvprzBR20G1u5
BayB1                  Nadeo           TSuQuXG8raQHgXVnNEpUZozYET1
BayB2                  Nadeo           GlFei54b57sePj9a4uB7hGxtQfi
BayB3                  Nadeo           UMbXb6QFLSK7htbk1wFeUIwq113
BayB4                  Nadeo           CiC_mlGNS7sEVGFcFppEskFn8of
BayB5                  Nadeo           qtW6yA7T424zfXZifFRVN3HD2om
BayC1                  Nadeo           xnVb_5H4zM7LrTmwlqSu7I89WIm
BayC2                  Nadeo           8l4cVTumajf1li2xZDF3QyfRGQ9
BayC3                  Nadeo           jJvxTMLeMW4JxWSTQsoS2ksxCBd
BayC4                  Nadeo           BEVHXBWkNy4Fd7SukIPneaNhMwf
BayC5                  Nadeo           SWHPkY4p7qEBMS11Wwh551OnyCj
BayD1                  Nadeo           iAMrEREtlhtVQlsGNYdAD0uU3P8
BayD2                  Nadeo           sfe9vjSKIyMyt21Ye1US9fO3d2f
BayD3                  Nadeo           gMvY9waBx_B9YPu7zWQIBTKWG5l
BayD4                  Nadeo           DxIxSLl1P8K2dO9DUEvU4KPqrz5
BayD5                  Nadeo           RJHi5c19gnBFZIdz1GLLOXHYobi
BayE                   Nadeo           kZtq8ip2iZTf56GZjaICYoaqvc0
CoastA1                Nadeo           3Yi_gcWFj51uEMqumdBZQHoTVW5
CoastA2                Nadeo           7l2N1N94c5Ro0TwXPUEeQ9r5Ef0
CoastA3                Nadeo           Tnl2vOcDgswgRmK3PRDhfvYOApe
CoastA4                Nadeo           3ECRWI9MusRwI_z2wEQVECcjFxc
CoastA5                Nadeo           Nw3wgOv2EGei31v20H_bgjxRZka
CoastB1                Nadeo           fLRpPpLnhinpKmtaUaC00jQ5e5e
CoastB2                Nadeo           Tqp8shDKD9YxdZpd_mGI387ysN9
CoastB3                Nadeo           vAp79h7b9B49CUKl1RPJH4u6dY6
CoastB4                Nadeo           7mZGrks3D3ZG_likA2X25_v2bb4
CoastB5                Nadeo           XcbwzBasWroMvTUMoGfWEZZXnvc
CoastC1                Nadeo           GeY0_507YZXNhgEQfhYI7i_aCLd
CoastC2                Nadeo           A2NzvnUxz0wb4gmqZtv67lw9SM3
CoastC3                Nadeo           NvVnDYzN6enW1XTeDNObyTw4TWe
CoastC4                Nadeo           3La8ljzEpqE3uTnTaA4VBHn9xP3
CoastC5                Nadeo           oYCwfKgUWfhx0ZiT3H0zp78Csf8
CoastD1                Nadeo           M_41NAd0ZJ7rZGdAyilpaA_l84c
CoastD2                Nadeo           zgHD7z4InE2dnZuMUu5ZiZ6TJOh
CoastD3                Nadeo           ElhoPK8FejcTArBcbzzhROSCm9
CoastD4                Nadeo           xiWyJq6r22r_a3XDLOHabPPuRN1
CoastD5                Nadeo           zsGreGIjoEJioRna4Ca2LnVffL7
CoastE                 Nadeo           lcZ8DIjysyTwNQ0vE1CWTvHgWI6
DesertA1               Nadeo           hwBvYEisZkCKsMW0ZMCVL3FF1pa
DesertA2               Nadeo           QGZZTr6I0MfOj5QYRGiFm8iivZ0
DesertA3               Nadeo           hxdsnPjyBpsI3fD8LEHLqXMg_gk
DesertA4               Nadeo           KNNtg4YoBARJK7llg4VUOHZGi74
DesertA5               Nadeo           YF_OaUdg7cWQAZw9payQ7cDlKR2
DesertB1               Nadeo           RPJZdVvNCRcC7sNYZ0pcFzJUC0a
DesertB2               Nadeo           L5XJzuLfS8eTsyDv2okLFT5EmYh
DesertB3               Nadeo           pwvOUneeZupb8gXmSzxIvcQfGZj
DesertB4               Nadeo           j6acnHdHyOJfeRXKiKKlRBvwPX5
DesertB5               Nadeo           VeFqtdTr0cmH4KtM5mSiBzLZ3B0
DesertC1               Nadeo           8SebSPNUFIajLWymNFZHZkW2Xnh
DesertC2               Nadeo           IGfT1x5wHxLcPyfntC5moemN39h
DesertC3               Nadeo           RAREa_O26jy7ijEp9WjBEuXz9_d
DesertC4               Nadeo           PxxR0F6ELbXIi7tp6gxRYgWZmBf
DesertC5               Nadeo           caTwVpFAdA_PzLEpmAdPe02lg53
DesertD1               Nadeo           JD3rNOcd_zztFZUDLIRYHBw2fSi
DesertD2               Nadeo           spjUHBBBwxXbmz9t28dvsg0Mjsd
DesertD3               Nadeo           H5kJQMsdXjB_FUX9g6HliH872kj
DesertD4               Nadeo           OyBGZZYhTTS2srBwVwR8xpB7g19
DesertD5               Nadeo           JtMRm7HqtomW8t2740PyBx3t5fk
DesertE                Nadeo           tQLFM7pwSGUrtbgKG73cRHptng2
IslandA1               Nadeo           WHPjjkUJ_bsHVRLG1TLdhAcmbB9
IslandA2               Nadeo           0WOGbLuUuchOLojOqXgfu4ofZ77
IslandA3               Nadeo           4yduPy0CN0HORsWoBfwBpzomsRb
IslandA4               Nadeo           UfFDode5gMM4JXB42gYBdyv8Wk5
IslandA5               Nadeo           auuHQo7KGl5jlDinGXY6TwaTeD1
IslandB1               Nadeo           cNVFIz24Lp6zvxlOURjU5Hfi8hb
IslandB2               Nadeo           lHQPPQZ4w7SBegPPiJCu11Tyg8m
IslandB3               Nadeo           feAvIdvjrzDL8f8wBgVZzs7auSh
IslandB4               Nadeo           gsBKhcmvnVITHRaTGRdnFUhTj0l
IslandB5               Nadeo           bg9z0E_7QY8vwYVEQBssRBH6Knd
IslandC1               Nadeo           rX5YyKmUiPBmyvzj34hWdrVWrK2
IslandC2               Nadeo           5RLV0JFiEknMWSoLfOP93JXoJe1
IslandC3               Nadeo           Acogr0IIF6bqJv5jjlINxw8aZp0
IslandC4               Nadeo           X6CxBL5bSBGhWXmhzLdEsiEcPSa
IslandC5               Nadeo           byoRiBrftGh9sL6SpqGpKxH2h8m
IslandD1               Nadeo           A7s5IpC7XfDWknn1PXKKBKCD2W1
IslandD2               Nadeo           E7XQEP4oT4qP8NYeOn81YPYgEO5
IslandD3               Nadeo           rK_OGHHTE9GdMqSpPBOqvkjleq5
IslandD4               Nadeo           ST387vLgNaX4HbasZzXruPq3kzh
IslandD5               Nadeo           PTOfMzMx8Sdrk4by2lJFqf9vtJl
IslandE                Nadeo           cwggfRlLkPBFbxxzxwxHK6cCWN0
RallyA1                Nadeo           87VAn8giGIHFPbpecrx8k5OT_xi
RallyA2                Nadeo           f4KFywZFmKkIr60fIgH_NaHJ1X2
RallyA3                Nadeo           4EU2JijuyapjzCycVOY4YOBHTSd
RallyA4                Nadeo           1WyEXta9UyNsbHVsvdkpq2DZNrf
RallyA5                Nadeo           EGeoKv9_Nsf0gwWV3UCPuQ4nKcm
RallyB1                Nadeo           6_anVkrO2thrW95MPMnMryaSMQa
RallyB2                Nadeo           8IVaoPt_RUtEvKn4bwqLxIWZvK0
RallyB3                Nadeo           IrF1y5XyYYHCKCXW9O3Ppm3Z2Rj
RallyB4                Nadeo           FvtjVC7UGq5iukJ9RsNMs7wqKRi
RallyB5                Nadeo           GvlexZR0shOTxSdgiKlYKMDo8F
RallyC1                Nadeo           r8BgTLVQvpc97avfjSnWFkymRcd
RallyC2                Nadeo           invHcwznN0lhX1knqKoh8NWT5Im
RallyC3                Nadeo           wbUzUoCydZTCoXv14oqOTsZmLSl
RallyC4                Nadeo           OXJ6oNACOvUHwOciVadq4awfvi3
RallyC5                Nadeo           8Sp6qCSx5GcIpyoEG7TXegPJPN4
RallyD1                Nadeo           O8hVBuqe_BaccF_1lHx4ppFjwtc
RallyD2                Nadeo           xgK3TtJnAIdaJtutIObAtLVO87l
RallyD3                Nadeo           F82aQO8FVuDKGxXptO3hO0_eby8
RallyD4                Nadeo           Fx99sI7vtJL_xewqzNYVV9Tp6Wd
RallyD5                Nadeo           i2cGu9Hw2EZhce2V6ELEPNWAHfd
RallyE                 Nadeo           TJy6I8JPU0IWevSoeZ53ursgBXe
SnowA1                 Nadeo           qQ9YsqWwIqYrLeGzVmNWGB3eWKj
SnowA2                 Nadeo           WQdenNCr3jVueJGkyBUR2SimWG7
SnowA3                 Nadeo           sEYGB1SoWwKNDLvw1fmkHBiTOkc
SnowA4                 Nadeo           mq176aoUGpw8Y1vIHTXRPYn5ZW5
SnowA5                 Nadeo           UC3B9K8DcYxxhlzwHqDdJFBZB_5
SnowB1                 Nadeo           yLDCGWXRY2t6AR0iyCfXrOm9iai
SnowB2                 Nadeo           9HahRrBoTxsV0XcodW9_vPShgIg
SnowB3                 Nadeo           TATIyxp9q1kHD8s2euKBksYPm07
SnowB4                 Nadeo           GBnhBkg8xkLdc7udoClIJQbLYu
SnowB5                 Nadeo           KOlYpZNGUTAevOQ7KXh5yw3LEr5
SnowC1                 Nadeo           iLrDjHss2EsvnWpo7u4pWqK_NGc
SnowC2                 Nadeo           PMjgzPR2XKuSf_xqJGs8fESdjI7
SnowC3                 Nadeo           pwVSn8op8_yKKyIVZrurBNUxk71
SnowC4                 Nadeo           Vo9x9JGDFROJM8uYNRmcaBw3N54
SnowC5                 Nadeo           MDBKjzABmlnjPLEwGHz5U8FLUPk
SnowD1                 Nadeo           cc1SDaOom8g_XB8_KtAbN1ax96e
SnowD2                 Nadeo           vSqn4Hur9pfZHqRpZipsXstbeAa
SnowD3                 Nadeo           NvKB_hLYO2yRdh1fkUlhdHuhpua
SnowD4                 Nadeo           DzKVX_DeyJfsl_fNAeJAmnVnzLl
SnowD5                 Nadeo           lHyjPIxLIk3uV07EflGjdl81Y60
SnowE                  Nadeo           88z4rJMMroX4vqAglWRxpUt9Oa
StadiumA1              Nadeo           lJ2JoZIDgByhcYENcmQBL0WWHb2
StadiumA2              Nadeo           vhnTq3xdPV0KeW4sl9bczrOLPx8
StadiumA3              Nadeo           ZKiqKZrmVgvp0WeLe5Rc31cw7Df
StadiumA4              Nadeo           oz7SH9qNSHerF8FFlurFw0QDxqf
StadiumA5              Nadeo           VcIHbyJ5nQRuFDhXOp7hrXtJyF8
StadiumB1              Nadeo           AJr0WOWFNr16GgPR5gATk0FaR4c
StadiumB2              Nadeo           jwkqslQXaAKq4pvLWVHGnVzPute
StadiumB3              Nadeo           hm4BM_c3sqpI2qzgX2vR9acvTj4
StadiumB4              Nadeo           LiSj9Js5kM4erXyCy8ez6l4cQej
StadiumB5              Nadeo           dVAqPX0DEuox0R7Z3qcX4N0gvD8
StadiumC1              Nadeo           5lSunHjU4j0twFNK7MQNP5FOp3m
StadiumC2              Nadeo           3QBb5EgTVuUNhnDrizNJmi4K4Ii
StadiumC3              Nadeo           q0ljLrLGWogdntNr85I4UrwPsLf
StadiumC4              Nadeo           3uxg8E_RaZSQezPhykAveG3tH_6
StadiumC5              Nadeo           Yv5PKpzZhwTSFpKPeitsjsgDTJ1
StadiumD1              Nadeo           Jy1iY548W5lQ1wUZxi4QdWcUJig
StadiumD2              Nadeo           w6QxL8QkmzuC7zUeQ9lfzlGFX92
StadiumD3              Nadeo           ZQu1Y0CVPbrHrXlTupqwz6F7CQi
StadiumD4              Nadeo           xm4qMVhLEiq35ZyzMf6vMudIwxi
StadiumD5              Nadeo           rE2zbgLaeB7aCoSpRXqm8Q62rXk
StadiumE               Nadeo           QYolmOMD2GrKJ3QtS62rQWV8JOg
